,Date,Time,HomeTeam,AwayTeam
0,2021-05-07,19:00,Leicester City,Newcastle United
1,2021-05-08,11:30,Leeds United,Tottenham Hotspur
2,2021-05-08,14:00,Sheffield United,Crystal Palace
3,2021-05-08,16:30,Manchester City,Chelsea
4,2021-05-08,19:15,Liverpool,Southampton
5,2021-05-09,11:00,Wolverhampton Wanderers,Brighton & Hove Albion
6,2021-05-09,13:05,Aston Villa,Manchester United
7,2021-05-09,15:30,West Ham United,Everton
8,2021-05-09,18:00,Arsenal,West Bromwich Albion
9,2021-05-10,19:00,Fulham,Burnley
10,2021-05-11,19:00,Southampton,Crystal Palace
11,2021-05-12,17:00,Manchester United,Leicester City
12,2021-05-12,19:15,Chelsea,Arsenal
13,2021-05-13,19:00,Aston Villa,Everton
14,2021-05-14,19:00,Newcastle United,Manchester City
15,2021-05-15,11:30,Burnley,Leeds United
16,2021-05-15,14:00,Southampton,Fulham
17,2021-05-15,19:00,Brighton & Hove Albion,West Ham United
18,2021-05-16,11:00,Crystal Palace,Aston Villa
19,2021-05-16,13:05,Tottenham Hotspur,Wolverhampton Wanderers
20,2021-05-16,15:30,West Bromwich Albion,Liverpool
21,2021-05-16,18:00,Everton,Sheffield United
22,2021-05-19,18:45,Newcastle United,Sheffield United
23,2021-05-19,18:45,Chelsea,Leicester City
24,2021-05-19,18:45,Tottenham Hotspur,Aston Villa
25,2021-05-19,18:45,Everton,Wolverhampton Wanderers
26,2021-05-19,18:45,West Bromwich Albion,West Ham United
27,2021-05-19,18:45,Manchester United,Fulham
28,2021-05-19,18:45,Burnley,Liverpool
29,2021-05-19,18:45,Southampton,Leeds United
30,2021-05-19,18:45,Crystal Palace,Arsenal
31,2021-05-19,18:45,Brighton & Hove Albion,Manchester City
32,2021-05-23,15:00,Fulham,Newcastle United
33,2021-05-23,15:00,Aston Villa,Chelsea
34,2021-05-23,15:00,Liverpool,Crystal Palace
35,2021-05-23,15:00,Manchester City,Everton
36,2021-05-23,15:00,Arsenal,Brighton & Hove Albion
37,2021-05-23,15:00,Sheffield United,Burnley
38,2021-05-23,15:00,Leicester City,Tottenham Hotspur
39,2021-05-23,15:00,West Ham United,Southampton
40,2021-05-23,15:00,Leeds United,West Bromwich Albion
41,2021-05-23,15:00,Wolverhampton Wanderers,Manchester United
