team,played,GS,GC,GD,xG,xGA,xGD,pts,M1_D,M1_L,M1_M,M1_W,M2_D,M2_L,M2_M,M2_W,M3_D,M3_L,M3_M,M3_W,M4_D,M4_L,M4_M,M4_W,M5_D,M5_L,M5_M,M5_W,FormPts,WinStreak3,WinStreak5,LossStreak3,LossStreak5,Shots,Shots_on_Target,Fouls,Corners
Arsenal,34,46,37,9,47.917514,38.64132,9.276194000000004,49,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,430,141,327,186
Aston Villa,33,48,38,10,51.743638,44.10943819999999,7.6341998000000135,48,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,442,168,380,187
Brighton & Hove Albion,34,35,39,-4,51.198523,35.018718,16.179804999999998,37,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,448,131,392,203
Burnley,34,31,47,-16,33.6606825,53.268933,-19.608250500000004,36,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,326,111,349,142
Chelsea,34,53,31,22,60.17238,26.607733000000003,33.564646999999994,61,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,487,186,389,201
Crystal Palace,33,34,56,-22,27.9833844,54.44762199999998,-26.46423759999998,38,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,277,101,350,118
Everton,33,45,42,3,43.70982299999999,43.96806900000001,-0.2582460000000211,52,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,338,127,335,137
Fulham,34,25,45,-20,37.53961500000001,51.162067799999996,-13.622452799999998,27,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,389,125,431,145
Leeds United,34,50,52,-2,50.77852799999999,58.24424700000001,-7.465719000000021,47,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,458,170,381,202
Leicester City,34,61,39,22,52.83545800000001,39.2657687,13.569689300000016,63,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,7,0,0,0,0,430,164,367,188
Liverpool,33,55,39,16,59.99066800000001,41.61102300000001,18.37964499999999,54,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,11,0,0,0,0,512,186,343,214
Manchester City,34,71,24,47,70.491598,25.509610099999996,44.98198790000001,80,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,459,191,402,174
Manchester United,33,64,35,29,56.38343299999998,35.849106,20.534326999999983,67,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,13,0,0,0,0,544,194,320,226
Newcastle United,34,36,56,-20,35.47680799999999,54.360385999999984,-18.883577999999996,36,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,8,0,0,0,0,346,122,355,142
Sheffield United,34,18,60,-42,29.826603700000003,60.22432300000001,-30.3977193,17,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,285,92,418,152
Southampton,33,41,59,-18,37.515298,50.51821400000001,-13.002916000000011,37,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,352,139,372,149
Tottenham Hotspur,34,60,38,22,49.757889,45.44501,4.3128790000000015,56,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0,388,152,399,141
West Bromwich Albion,34,31,65,-34,29.869010199999995,64.829912,-34.960901799999995,26,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,280,95,351,116
West Ham United,34,55,44,11,51.76410100000001,44.91807300000001,6.846028000000004,58,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,385,142,337,146
Wolverhampton Wanderers,34,33,46,-13,35.44029600000001,46.05567700000001,-10.615381000000006,42,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,7,0,0,0,0,388,128,366,172
